datetime,symbol,open,high,low,close,volume
2021-06-14 03:00:00,BINANCE:AVAXUSDT,14.762,15.419,14.371,15.113,1753753.579
2021-06-15 03:00:00,BINANCE:AVAXUSDT,15.111,15.632,14.581,14.714,1618961.454
2021-06-16 03:00:00,BINANCE:AVAXUSDT,14.715,14.951,13.913,14.078,1593156.605
2021-06-17 03:00:00,BINANCE:AVAXUSDT,14.081,15.498,14.02,14.844,2176578.341
2021-06-18 03:00:00,BINANCE:AVAXUSDT,14.858,15.3,13.1,13.64,1646645.548
2021-06-19 03:00:00,BINANCE:AVAXUSDT,13.635,14.04,13.209,13.383,677502.975
2021-06-20 03:00:00,BINANCE:AVAXUSDT,13.374,14.188,12.783,13.917,1178226.514
2021-06-21 03:00:00,BINANCE:AVAXUSDT,13.914,14.069,11.077,11.2,2203255.627
2021-06-22 03:00:00,BINANCE:AVAXUSDT,11.19,11.764,9.325,10.578,3283390.301
2021-06-23 03:00:00,BINANCE:AVAXUSDT,10.585,11.899,10.15,11.456,2090766.333
2021-06-24 03:00:00,BINANCE:AVAXUSDT,11.467,11.757,10.822,11.493,1288733.896
2021-06-25 03:00:00,BINANCE:AVAXUSDT,11.499,11.756,10.2,10.235,1369495.419
2021-06-26 03:00:00,BINANCE:AVAXUSDT,10.238,10.6,9.784,10.318,1136001.579
2021-06-27 03:00:00,BINANCE:AVAXUSDT,10.317,10.98,10.087,10.941,692604.829
2021-06-28 03:00:00,BINANCE:AVAXUSDT,10.953,11.469,10.694,11.322,1022964.874
2021-06-29 03:00:00,BINANCE:AVAXUSDT,11.333,12.348,11.077,11.92,1388415.123
2021-06-30 03:00:00,BINANCE:AVAXUSDT,11.921,12.166,11.035,11.949,1137246.751
2021-07-01 03:00:00,BINANCE:AVAXUSDT,11.94,12.08,11.0,11.181,717086.767
2021-07-02 03:00:00,BINANCE:AVAXUSDT,11.19,11.355,10.572,11.112,979100.755
2021-07-03 03:00:00,BINANCE:AVAXUSDT,11.117,11.676,10.878,11.509,737397.368
2021-07-04 03:00:00,BINANCE:AVAXUSDT,11.499,12.9,11.21,12.345,1361790.033
2021-07-05 03:00:00,BINANCE:AVAXUSDT,12.342,12.44,11.519,12.042,1408712.788
2021-07-06 03:00:00,BINANCE:AVAXUSDT,12.041,14.226,12.026,13.384,2391422.133
2021-07-07 03:00:00,BINANCE:AVAXUSDT,13.369,14.2,13.04,13.105,2048553.788
2021-07-08 03:00:00,BINANCE:AVAXUSDT,13.091,13.118,11.838,12.098,1467700.322
2021-07-09 03:00:00,BINANCE:AVAXUSDT,12.093,12.88,11.639,12.552,1365886.913
2021-07-10 03:00:00,BINANCE:AVAXUSDT,12.559,12.851,11.838,12.015,729693.403
2021-07-11 03:00:00,BINANCE:AVAXUSDT,12.023,12.49,11.912,12.433,574831.74
2021-07-12 03:00:00,BINANCE:AVAXUSDT,12.437,12.841,11.7,12.157,1105226.312
2021-07-13 03:00:00,BINANCE:AVAXUSDT,12.162,12.434,11.744,11.91,937209.081
2021-07-14 03:00:00,BINANCE:AVAXUSDT,11.916,12.11,11.111,11.793,916149.504
2021-07-15 03:00:00,BINANCE:AVAXUSDT,11.791,12.102,11.128,11.391,799151.217
2021-07-16 03:00:00,BINANCE:AVAXUSDT,11.391,11.82,10.8,10.814,869808.847
2021-07-17 03:00:00,BINANCE:AVAXUSDT,10.816,11.144,10.716,10.958,588168.81
2021-07-18 03:00:00,BINANCE:AVAXUSDT,10.956,11.275,10.65,10.69,669471.278
2021-07-19 03:00:00,BINANCE:AVAXUSDT,10.69,10.757,10.01,10.183,613091.689
2021-07-20 03:00:00,BINANCE:AVAXUSDT,10.186,10.366,9.327,9.639,784232.566
2021-07-21 03:00:00,BINANCE:AVAXUSDT,9.647,10.752,9.473,10.425,994914.755
2021-07-22 03:00:00,BINANCE:AVAXUSDT,10.44,10.96,10.238,10.833,879782.503
2021-07-23 03:00:00,BINANCE:AVAXUSDT,10.84,11.174,10.53,11.086,695996.732
2021-07-24 03:00:00,BINANCE:AVAXUSDT,11.092,11.447,10.954,11.142,839109.691
2021-07-25 03:00:00,BINANCE:AVAXUSDT,11.142,11.339,10.765,11.247,601383.149
2021-07-26 03:00:00,BINANCE:AVAXUSDT,11.247,12.7,11.213,11.46,2057987.325
2021-07-27 03:00:00,BINANCE:AVAXUSDT,11.455,12.352,11.175,11.917,977794.901
2021-07-28 03:00:00,BINANCE:AVAXUSDT,11.921,12.485,11.691,12.32,1510307.384
2021-07-29 03:00:00,BINANCE:AVAXUSDT,12.331,12.65,11.98,12.433,1634174.61
2021-07-30 03:00:00,BINANCE:AVAXUSDT,12.433,13.0,11.93,12.978,1572248.756
2021-07-31 03:00:00,BINANCE:AVAXUSDT,12.978,13.63,12.585,13.525,1248768.221
2021-08-01 03:00:00,BINANCE:AVAXUSDT,13.535,14.077,12.617,12.853,1860616.438
2021-08-02 03:00:00,BINANCE:AVAXUSDT,12.846,13.374,12.616,12.993,928801.989
2021-08-03 03:00:00,BINANCE:AVAXUSDT,12.992,13.522,12.325,12.557,1198368.484
2021-08-04 03:00:00,BINANCE:AVAXUSDT,12.568,13.78,12.41,13.696,1246721.964
2021-08-05 03:00:00,BINANCE:AVAXUSDT,13.696,14.0,12.849,13.834,1372439.967
2021-08-06 03:00:00,BINANCE:AVAXUSDT,13.834,15.08,13.388,14.77,2108094.949
2021-08-07 03:00:00,BINANCE:AVAXUSDT,14.774,15.952,14.612,15.834,2346816.422
2021-08-08 03:00:00,BINANCE:AVAXUSDT,15.85,16.1,14.557,14.826,1318372.027
2021-08-09 03:00:00,BINANCE:AVAXUSDT,14.83,16.759,14.424,16.169,2569371.614
2021-08-10 03:00:00,BINANCE:AVAXUSDT,16.167,17.184,15.801,16.42,2076458.198
2021-08-11 03:00:00,BINANCE:AVAXUSDT,16.43,17.547,16.378,16.688,1849892.045
2021-08-12 03:00:00,BINANCE:AVAXUSDT,16.674,17.538,15.429,16.575,1704787.841
2021-08-13 03:00:00,BINANCE:AVAXUSDT,16.574,18.291,16.389,18.031,1519296.777
2021-08-14 03:00:00,BINANCE:AVAXUSDT,18.044,18.433,17.169,18.093,1428803.971
2021-08-15 03:00:00,BINANCE:AVAXUSDT,18.09,18.855,17.058,18.762,1404168.533
2021-08-16 03:00:00,BINANCE:AVAXUSDT,18.762,21.13,18.441,19.071,3800908.89
2021-08-17 03:00:00,BINANCE:AVAXUSDT,19.071,25.46,18.418,23.446,10172036.37399996
2021-08-18 03:00:00,BINANCE:AVAXUSDT,23.452,30.885,21.454,29.993,12872464.95299999
2021-08-19 03:00:00,BINANCE:AVAXUSDT,29.992,33.755,28.714,30.653,11884539.98900002
2021-08-20 03:00:00,BINANCE:AVAXUSDT,30.653,39.229,29.943,39.155,8246852.13700001
2021-08-21 03:00:00,BINANCE:AVAXUSDT,39.148,50.27,37.676,43.676,13275218.25300001
2021-08-22 03:00:00,BINANCE:AVAXUSDT,43.693,45.03,40.537,43.663,8717113.45999999
2021-08-23 03:00:00,BINANCE:AVAXUSDT,43.682,53.623,43.614,46.451,11058622.43600001
2021-08-24 03:00:00,BINANCE:AVAXUSDT,46.407,58.977,44.151,55.474,13474170.15599999
2021-08-25 03:00:00,BINANCE:AVAXUSDT,55.475,57.584,45.65,46.208,11480697.36899999
2021-08-26 03:00:00,BINANCE:AVAXUSDT,46.211,48.463,41.2,41.32,9280721.696
2021-08-27 03:00:00,BINANCE:AVAXUSDT,41.32,50.47,40.3,50.14,10990447.098
2021-08-28 03:00:00,BINANCE:AVAXUSDT,50.12,51.79,46.12,50.2,7177328.364
2021-08-29 03:00:00,BINANCE:AVAXUSDT,50.2,52.4,46.66,47.39,5176181.901
2021-08-30 03:00:00,BINANCE:AVAXUSDT,47.43,48.33,41.0,41.44,6827433.15000001
2021-08-31 03:00:00,BINANCE:AVAXUSDT,41.42,44.22,38.17,39.5,6855430.91599999
2021-09-01 03:00:00,BINANCE:AVAXUSDT,39.51,45.71,38.55,42.47,7820541.217
2021-09-02 03:00:00,BINANCE:AVAXUSDT,42.5,47.98,41.0,47.58,6481497.68
2021-09-03 03:00:00,BINANCE:AVAXUSDT,47.6,51.66,44.45,45.89,9097559.66
2021-09-04 03:00:00,BINANCE:AVAXUSDT,45.9,49.88,44.07,47.15,6077749.28000001
2021-09-05 03:00:00,BINANCE:AVAXUSDT,47.19,49.4,45.44,48.15,5904540.19
2021-09-06 03:00:00,BINANCE:AVAXUSDT,48.14,51.36,42.45,47.1,7931732.22000001
2021-09-07 03:00:00,BINANCE:AVAXUSDT,47.11,47.2,32.23,37.93,12849059.61700002
2021-09-08 03:00:00,BINANCE:AVAXUSDT,37.97,39.5,33.08,37.0,7464147.83
2021-09-09 03:00:00,BINANCE:AVAXUSDT,37.03,44.6,36.21,40.77,10152448.67399998
2021-09-10 03:00:00,BINANCE:AVAXUSDT,40.75,49.7,40.38,49.3,17253541.93
2021-09-11 03:00:00,BINANCE:AVAXUSDT,49.33,59.25,48.11,57.02,16295853.416
2021-09-12 03:00:00,BINANCE:AVAXUSDT,57.02,64.9,53.59,59.22,16140497.309
2021-09-13 03:00:00,BINANCE:AVAXUSDT,59.21,60.92,47.66,53.15,17195092.80000005
2021-09-14 03:00:00,BINANCE:AVAXUSDT,53.14,57.63,48.8,51.5,8170590.05000001
2021-09-15 03:00:00,BINANCE:AVAXUSDT,51.51,58.18,50.3,57.84,6756093.54
2021-09-16 03:00:00,BINANCE:AVAXUSDT,57.83,68.33,57.17,67.56,15000080.374
2021-09-17 03:00:00,BINANCE:AVAXUSDT,67.59,70.9,60.36,70.11,10905614.465
2021-09-18 03:00:00,BINANCE:AVAXUSDT,70.15,75.59,67.16,69.02,10521283.48799999
2021-09-19 03:00:00,BINANCE:AVAXUSDT,69.02,76.27,66.42,70.07,9524488.55099999
2021-09-20 03:00:00,BINANCE:AVAXUSDT,70.06,70.45,55.0,57.33,15410116.44999997
2021-09-21 03:00:00,BINANCE:AVAXUSDT,57.34,66.24,52.55,58.98,15940591.44000001
2021-09-22 03:00:00,BINANCE:AVAXUSDT,59.0,74.69,57.72,74.07,13033656.09999999
2021-09-23 03:00:00,BINANCE:AVAXUSDT,74.04,79.8,72.76,76.44,11366707.86
2021-09-24 03:00:00,BINANCE:AVAXUSDT,76.43,78.86,66.59,72.31,11472906.45
2021-09-25 03:00:00,BINANCE:AVAXUSDT,72.3,72.6,67.5,68.28,4943069.71
2021-09-26 03:00:00,BINANCE:AVAXUSDT,68.28,71.44,61.59,66.77,6395395.39999999
2021-09-27 03:00:00,BINANCE:AVAXUSDT,66.77,72.69,65.31,66.33,5974772.52000001
2021-09-28 03:00:00,BINANCE:AVAXUSDT,66.34,69.44,61.11,61.51,4765761.77
2021-09-29 03:00:00,BINANCE:AVAXUSDT,61.51,69.5,61.26,65.46,6780246.71
2021-09-30 03:00:00,BINANCE:AVAXUSDT,65.46,68.91,64.28,66.63,5085384.45
2021-10-01 03:00:00,BINANCE:AVAXUSDT,66.64,69.58,63.12,67.67,6973676.03
2021-10-02 03:00:00,BINANCE:AVAXUSDT,67.66,73.41,65.8,69.08,6536616.52000001
2021-10-03 03:00:00,BINANCE:AVAXUSDT,69.09,71.61,67.55,68.69,4467356.38999999
2021-10-04 03:00:00,BINANCE:AVAXUSDT,68.69,68.76,63.3,65.29,4826593.69
2021-10-05 03:00:00,BINANCE:AVAXUSDT,65.26,66.78,62.7,64.6,3831519.71
2021-10-06 03:00:00,BINANCE:AVAXUSDT,64.6,65.76,58.16,60.01,5068720.14
2021-10-07 03:00:00,BINANCE:AVAXUSDT,60.0,62.29,57.39,61.52,4761648.55
2021-10-08 03:00:00,BINANCE:AVAXUSDT,61.53,64.94,59.76,60.51,4392451.39000001
2021-10-09 03:00:00,BINANCE:AVAXUSDT,60.52,62.04,59.7,60.63,1985268.84
2021-10-10 03:00:00,BINANCE:AVAXUSDT,60.63,61.01,55.39,56.51,2515959.37
2021-10-11 03:00:00,BINANCE:AVAXUSDT,56.5,59.23,53.76,55.3,3407191.2
2021-10-12 03:00:00,BINANCE:AVAXUSDT,55.3,55.31,51.04,54.34,4070051.39999999
2021-10-13 03:00:00,BINANCE:AVAXUSDT,54.33,57.09,53.23,55.01,3632007.14000001
2021-10-14 03:00:00,BINANCE:AVAXUSDT,55.0,58.46,54.92,56.18,3000941.32
2021-10-15 03:00:00,BINANCE:AVAXUSDT,56.18,57.61,54.44,56.36,2963326.33
2021-10-16 03:00:00,BINANCE:AVAXUSDT,56.33,62.11,55.68,57.61,3914987.29
2021-10-17 03:00:00,BINANCE:AVAXUSDT,57.62,58.55,53.27,56.1,2134508.3
2021-10-18 03:00:00,BINANCE:AVAXUSDT,56.11,56.46,54.05,55.48,1553173.47
2021-10-19 03:00:00,BINANCE:AVAXUSDT,55.47,58.1,55.12,56.8,1873629.97
2021-10-20 03:00:00,BINANCE:AVAXUSDT,56.81,61.64,56.7,59.66,2707834.23
2021-10-21 03:00:00,BINANCE:AVAXUSDT,59.66,64.35,58.78,61.48,3959021.69
2021-10-22 03:00:00,BINANCE:AVAXUSDT,61.48,68.83,61.36,65.54,5522607.5
2021-10-23 03:00:00,BINANCE:AVAXUSDT,65.54,69.18,64.51,65.38,2977532.28
2021-10-24 03:00:00,BINANCE:AVAXUSDT,65.39,67.61,61.94,64.53,2184761.84
2021-10-25 03:00:00,BINANCE:AVAXUSDT,64.53,69.9,64.35,69.73,2270486.65
2021-10-26 03:00:00,BINANCE:AVAXUSDT,69.74,73.01,67.61,68.66,3840473.4
2021-10-27 03:00:00,BINANCE:AVAXUSDT,68.68,69.82,57.02,61.57,4273308.61
2021-10-28 03:00:00,BINANCE:AVAXUSDT,61.58,64.98,61.44,64.34,2484514.38
2021-10-29 03:00:00,BINANCE:AVAXUSDT,64.34,66.19,63.43,64.87,1513107.96
2021-10-30 03:00:00,BINANCE:AVAXUSDT,64.87,64.96,60.89,62.35,1483432.23
2021-10-31 03:00:00,BINANCE:AVAXUSDT,62.33,64.5,60.09,64.5,1531085.26
2021-11-01 03:00:00,BINANCE:AVAXUSDT,64.5,66.85,62.19,64.93,2515107.85
2021-11-02 03:00:00,BINANCE:AVAXUSDT,64.94,68.04,64.26,67.74,1746644.56
2021-11-03 03:00:00,BINANCE:AVAXUSDT,67.75,75.57,67.09,75.55,4504183.21000001
2021-11-04 03:00:00,BINANCE:AVAXUSDT,75.56,80.91,73.91,78.97,4700338.46499999
2021-11-05 03:00:00,BINANCE:AVAXUSDT,78.96,81.0,72.13,74.19,2367154.9
2021-11-06 03:00:00,BINANCE:AVAXUSDT,74.19,78.72,72.32,78.72,1708791.07
2021-11-07 03:00:00,BINANCE:AVAXUSDT,78.7,88.88,78.0,87.57,4847020.51599999
2021-11-08 03:00:00,BINANCE:AVAXUSDT,87.56,96.92,83.61,91.18,6890764.66100001
2021-11-09 03:00:00,BINANCE:AVAXUSDT,91.18,91.49,87.0,88.33,2716240.59
2021-11-10 03:00:00,BINANCE:AVAXUSDT,88.35,94.0,78.31,85.23,4363326.07
2021-11-11 03:00:00,BINANCE:AVAXUSDT,85.19,89.56,83.73,87.88,2085731.8
2021-11-12 03:00:00,BINANCE:AVAXUSDT,87.86,89.88,81.11,84.78,2247279.59000001
2021-11-13 03:00:00,BINANCE:AVAXUSDT,84.81,98.69,84.79,97.54,3519352.278
2021-11-14 03:00:00,BINANCE:AVAXUSDT,97.56,99.9,91.65,95.4,3548704.679
2021-11-15 03:00:00,BINANCE:AVAXUSDT,95.4,101.7,92.0,93.9,3770997.004
2021-11-16 03:00:00,BINANCE:AVAXUSDT,93.86,101.82,83.5,97.84,5618799.05
2021-11-17 03:00:00,BINANCE:AVAXUSDT,97.8,110.0,91.5,107.63,7144221.09800001
2021-11-18 03:00:00,BINANCE:AVAXUSDT,107.62,110.41,92.0,100.63,5656362.44699999
2021-11-19 03:00:00,BINANCE:AVAXUSDT,100.54,112.35,95.89,111.93,4039089.13
2021-11-20 03:00:00,BINANCE:AVAXUSDT,111.91,129.94,111.57,125.83,5546998.32
2021-11-21 03:00:00,BINANCE:AVAXUSDT,125.86,147.0,123.23,128.47,7608661.93399999
2021-11-22 03:00:00,BINANCE:AVAXUSDT,128.52,145.0,125.76,134.84,6564375.99999999
2021-11-23 03:00:00,BINANCE:AVAXUSDT,134.84,136.49,121.75,123.83,4209995.63
2021-11-24 03:00:00,BINANCE:AVAXUSDT,123.83,124.68,112.64,115.24,4577775.34
2021-11-25 03:00:00,BINANCE:AVAXUSDT,115.25,130.0,114.22,119.27,4680745.85000001
2021-11-26 03:00:00,BINANCE:AVAXUSDT,119.25,119.87,101.31,104.27,4575826.58999999
2021-11-27 03:00:00,BINANCE:AVAXUSDT,104.3,118.0,103.22,113.52,2842064.96
2021-11-28 03:00:00,BINANCE:AVAXUSDT,113.55,113.97,100.57,110.42,3365794.57
2021-11-29 03:00:00,BINANCE:AVAXUSDT,110.42,120.41,109.03,120.39,2516574.06
2021-11-30 03:00:00,BINANCE:AVAXUSDT,120.39,124.8,114.0,120.41,3625461.85
2021-12-01 03:00:00,BINANCE:AVAXUSDT,120.42,127.41,117.25,119.65,3007063.68
2021-12-02 03:00:00,BINANCE:AVAXUSDT,119.64,119.75,106.88,107.78,2475877.81
2021-12-03 03:00:00,BINANCE:AVAXUSDT,107.79,113.23,100.0,108.32,3316203.87
2021-12-04 03:00:00,BINANCE:AVAXUSDT,108.36,108.81,76.57,93.05,6768729.16
2021-12-05 03:00:00,BINANCE:AVAXUSDT,93.02,95.5,82.55,86.35,3562051.48
2021-12-06 03:00:00,BINANCE:AVAXUSDT,86.34,94.9,77.0,92.97,5155977.54
2021-12-07 03:00:00,BINANCE:AVAXUSDT,92.93,96.62,88.0,89.57,2882225.85
2021-12-08 03:00:00,BINANCE:AVAXUSDT,89.54,93.22,86.0,93.19,1976726.13
2021-12-09 03:00:00,BINANCE:AVAXUSDT,93.2,94.57,83.28,85.46,2603024.55
2021-12-10 03:00:00,BINANCE:AVAXUSDT,85.41,91.78,80.22,80.61,3342367.08
2021-12-11 03:00:00,BINANCE:AVAXUSDT,80.57,87.07,78.32,86.55,2324989.96999999
2021-12-12 03:00:00,BINANCE:AVAXUSDT,86.55,88.97,82.94,88.0,1544788.55
2021-12-13 03:00:00,BINANCE:AVAXUSDT,88.01,89.92,75.5,79.05,3604282.51
2021-12-14 03:00:00,BINANCE:AVAXUSDT,79.05,87.46,76.31,87.17,2973253.39
2021-12-15 03:00:00,BINANCE:AVAXUSDT,87.16,105.77,86.1,101.24,6449158.01999999
2021-12-16 03:00:00,BINANCE:AVAXUSDT,101.28,110.0,98.0,98.21,4989316.02000001
2021-12-17 03:00:00,BINANCE:AVAXUSDT,98.23,116.1,98.14,110.81,6159186.26
2021-12-18 03:00:00,BINANCE:AVAXUSDT,110.82,117.39,105.51,115.9,3442233.16
2021-12-19 03:00:00,BINANCE:AVAXUSDT,115.91,116.69,106.66,107.61,2140304.15
2021-12-20 03:00:00,BINANCE:AVAXUSDT,107.61,116.33,100.96,113.55,4463038.26
2021-12-21 03:00:00,BINANCE:AVAXUSDT,113.52,123.97,110.59,123.24,3711910.2
2021-12-22 03:00:00,BINANCE:AVAXUSDT,123.23,127.32,115.55,116.69,2949493.16
2021-12-23 03:00:00,BINANCE:AVAXUSDT,116.68,125.06,116.22,121.4,2526919.7
2021-12-24 03:00:00,BINANCE:AVAXUSDT,121.45,124.57,113.19,114.94,2103167.74
2021-12-25 03:00:00,BINANCE:AVAXUSDT,114.95,116.93,112.0,115.01,1699906.82
2021-12-26 03:00:00,BINANCE:AVAXUSDT,114.99,118.0,109.28,115.02,1883628.3
2021-12-27 03:00:00,BINANCE:AVAXUSDT,115.06,120.96,113.23,113.85,1737709.92
2021-12-28 03:00:00,BINANCE:AVAXUSDT,113.85,116.73,104.33,107.06,2819996.86
2021-12-29 03:00:00,BINANCE:AVAXUSDT,107.05,110.55,102.3,103.1,1941041.1
2021-12-30 03:00:00,BINANCE:AVAXUSDT,103.1,105.4,98.25,101.75,1935135.51
2021-12-31 03:00:00,BINANCE:AVAXUSDT,101.75,111.99,100.13,109.43,2472808.44
2022-01-01 03:00:00,BINANCE:AVAXUSDT,109.43,114.5,108.42,114.13,1211127.98
2022-01-02 03:00:00,BINANCE:AVAXUSDT,114.12,117.53,112.0,113.03,1157325.57
2022-01-03 03:00:00,BINANCE:AVAXUSDT,113.02,114.13,106.01,108.11,1518111.91
2022-01-04 03:00:00,BINANCE:AVAXUSDT,108.11,109.28,102.78,103.35,1646722.91
2022-01-05 03:00:00,BINANCE:AVAXUSDT,103.33,106.66,95.95,96.97,1705163.75
